	mH3	mH1	mH2	thetahS	thetahX	thetaSX	vs	vx
270	143.65656565656565	87.96969696969697	125.09	1.352	1.175	-0.407	120.0	890.0
271	143.65656565656565	89.21212121212122	125.09	1.352	1.175	-0.407	120.0	890.0
272	143.65656565656565	90.45454545454545	125.09	1.352	1.175	-0.407	120.0	890.0
273	143.65656565656565	91.6969696969697	125.09	1.352	1.175	-0.407	120.0	890.0
274	143.65656565656565	92.93939393939394	125.09	1.352	1.175	-0.407	120.0	890.0
275	143.65656565656565	94.18181818181819	125.09	1.352	1.175	-0.407	120.0	890.0
276	143.65656565656565	95.42424242424242	125.09	1.352	1.175	-0.407	120.0	890.0
277	143.65656565656565	96.66666666666667	125.09	1.352	1.175	-0.407	120.0	890.0
278	143.65656565656565	97.9090909090909	125.09	1.352	1.175	-0.407	120.0	890.0
279	143.65656565656565	99.15151515151516	125.09	1.352	1.175	-0.407	120.0	890.0
280	143.65656565656565	100.39393939393939	125.09	1.352	1.175	-0.407	120.0	890.0
281	143.65656565656565	101.63636363636364	125.09	1.352	1.175	-0.407	120.0	890.0
282	143.65656565656565	102.87878787878788	125.09	1.352	1.175	-0.407	120.0	890.0
283	143.65656565656565	104.12121212121212	125.09	1.352	1.175	-0.407	120.0	890.0
284	143.65656565656565	105.36363636363636	125.09	1.352	1.175	-0.407	120.0	890.0
285	143.65656565656565	106.60606060606061	125.09	1.352	1.175	-0.407	120.0	890.0
286	143.65656565656565	107.84848484848484	125.09	1.352	1.175	-0.407	120.0	890.0
287	143.65656565656565	109.0909090909091	125.09	1.352	1.175	-0.407	120.0	890.0
288	143.65656565656565	110.33333333333333	125.09	1.352	1.175	-0.407	120.0	890.0
289	143.65656565656565	111.57575757575758	125.09	1.352	1.175	-0.407	120.0	890.0
290	143.65656565656565	112.81818181818181	125.09	1.352	1.175	-0.407	120.0	890.0
291	143.65656565656565	114.06060606060606	125.09	1.352	1.175	-0.407	120.0	890.0
292	143.65656565656565	115.3030303030303	125.09	1.352	1.175	-0.407	120.0	890.0
293	143.65656565656565	116.54545454545455	125.09	1.352	1.175	-0.407	120.0	890.0
294	143.65656565656565	117.78787878787878	125.09	1.352	1.175	-0.407	120.0	890.0
295	143.65656565656565	119.03030303030303	125.09	1.352	1.175	-0.407	120.0	890.0
296	143.65656565656565	120.27272727272728	125.09	1.352	1.175	-0.407	120.0	890.0
297	143.65656565656565	121.51515151515152	125.09	1.352	1.175	-0.407	120.0	890.0
298	143.65656565656565	122.75757575757576	125.09	1.352	1.175	-0.407	120.0	890.0
299	143.65656565656565	124.0	125.09	1.352	1.175	-0.407	120.0	890.0
300	152.4848484848485	1.0	125.09	1.352	1.175	-0.407	120.0	890.0
301	152.4848484848485	2.242424242424242	125.09	1.352	1.175	-0.407	120.0	890.0
302	152.4848484848485	3.484848484848485	125.09	1.352	1.175	-0.407	120.0	890.0
303	152.4848484848485	4.7272727272727275	125.09	1.352	1.175	-0.407	120.0	890.0
304	152.4848484848485	5.96969696969697	125.09	1.352	1.175	-0.407	120.0	890.0
305	152.4848484848485	7.212121212121212	125.09	1.352	1.175	-0.407	120.0	890.0
306	152.4848484848485	8.454545454545455	125.09	1.352	1.175	-0.407	120.0	890.0
307	152.4848484848485	9.696969696969697	125.09	1.352	1.175	-0.407	120.0	890.0
308	152.4848484848485	10.93939393939394	125.09	1.352	1.175	-0.407	120.0	890.0
309	152.4848484848485	12.181818181818182	125.09	1.352	1.175	-0.407	120.0	890.0
310	152.4848484848485	13.424242424242424	125.09	1.352	1.175	-0.407	120.0	890.0
311	152.4848484848485	14.666666666666666	125.09	1.352	1.175	-0.407	120.0	890.0
