	mH1	mH2	mH3	thetahS	thetahX	thetaSX	vs	vx	x_X_S_bb_H_gamgam_max	ObsLimExclusions	ScannerSExclusions	numOfNans	numOfModels	ObsLim	dataId	ms	mx
16	15.0	125.09	190	1.4922565104551515	0.1658062789394614	0.1658062789394614	889	112	0.0003557234514595106	0	97047	0	2953	0.007050975514023841	X190_S15	15.0	190.0
17	50.0	125.09	190	1.4922565104551515	1.160643952576229	0.1658062789394612	112	223	0.0012219093477968278	0	96141	0	3859	0.007371076661558836	X190_S50	50.0	190.0
18	70.0	125.09	200	1.4922565104551522	0.8290313946973071	0.1658062789394614	112	112	0.0011323252092844166	0	95042	0	4958	0.00189059215514519	X200_S70	70.0	200.0
19	30.0	125.09	205	1.4922565104551515	1.160643952576229	0.1658062789394612	112	223	0.0011349074320941837	0	97888	0	2112	0.00788263969641261	X205_S30	30.0	205.0
20	50.0	125.09	205	1.4922565104551515	1.160643952576229	0.1658062789394612	112	223	0.0010657553219640063	0	97251	0	2749	0.003248486145013958	X205_S50	50.0	205.0
21	15.0	125.09	210	1.4922565104551515	0.1658062789394614	0.1658062789394614	889	112	0.00024976832363879923	0	97154	0	2846	0.003110663078597404	X210_S15	15.0	210.0
22	70.0	125.09	210	1.4922565104551522	0.8290313946973071	0.1658062789394614	112	112	0.0011625848329538623	0	93552	0	6448	0.001525810535638776	X210_S70	70.0	210.0
23	90.0	125.09	220	1.4922565104551522	0.8290313946973071	0.1658062789394614	112	112	0.000862573332720042	0	94172	0	5828	0.001018588898009958	X220_S90	90.0	220.0
24	30.0	125.09	225	1.4922565104551515	0.1658062789394614	0.1658062789394614	889	112	0.0002108264435848858	0	98224	0	1776	0.002436375355658923	X225_S30	30.0	225.0
25	50.0	125.09	225	1.4922565104551515	1.160643952576229	0.1658062789394612	112	223	0.000881128210251399	0	97614	0	2386	0.002453200473110721	X225_S50	50.0	225.0
26	70.0	125.09	225	1.4922565104551522	0.8290313946973071	0.1658062789394614	112	112	0.001063171865510891	0	95274	0	4726	0.001811570671650195	X225_S70	70.0	225.0
27	100.0	125.09	230	1.4922565104551522	0.8290313946973071	0.1658062789394614	112	112	0.0007561093113145091	0	93889	0	6111	0.001103614583574998	X230_S100	100.0	230.0
28	15.0	125.09	230	1.4922565104551515	0.1658062789394614	0.1658062789394614	889	112	0.00019042656510454548	0	98255	0	1745	0.006724871793887542	X230_S15	15.0	230.0
29	90.0	125.09	230	1.4922565104551522	0.8290313946973071	0.1658062789394614	112	112	0.0009194255477343106	0	93846	0	6154	0.001609682071990802	X230_S90	90.0	230.0
30	100.0	125.09	240	1.4922565104551522	0.8290313946973071	0.1658062789394614	112	112	0.0008198398814353418	0	94146	0	5854	0.001907151003922606	X240_S100	100.0	240.0
31	110.0	125.09	240	1.4922565104551522	0.8290313946973071	0.1658062789394614	112	112	0.000649331736619874	0	94856	0	5144	0.001068477789512949	X240_S110	110.0	240.0
32	30.0	125.09	245	1.4922565104551515	0.1658062789394614	0.1658062789394614	889	112	0.0001677974158459573	0	98229	0	1771	0.0015952864274545759	X245_S30	30.0	245.0
33	50.0	125.09	245	1.4922565104551515	1.160643952576229	0.1658062789394612	112	223	0.0007388022734507914	0	97703	0	2297	0.0013648951104566112	X245_S50	50.0	245.0
34	70.0	125.09	245	1.4922565104551522	0.8290313946973071	0.1658062789394614	112	112	0.00092515350654827	0	95443	0	4557	0.00221519805131158	X245_S70	70.0	245.0
