	ms	mx	limit_obs	limit_exp
103	125.0	475.0	0.49990306660373	0.41352301030995403
104	150.0	475.0	0.514682448638719	0.44852675315704804
105	170.0	475.0	0.46400919225457404	0.399097508378475
106	185.0	475.0	0.35692893032348505	0.433126687090847
107	200.0	475.0	0.47162644644510904	0.410413152361329
108	225.0	475.0	0.7682019231216971	0.44762649437621904
109	250.0	475.0	0.660194998354752	0.42778171498938605
110	275.0	475.0	0.44095064257251304	0.5915159284447
111	300.0	475.0	0.868922947488843	0.49075738051674606
112	70.0	475.0	0.335430118474741	0.37867678869401805
113	90.0	475.0	0.35233714013918604	0.433719263734515
114	110.0	500.0	0.5377813702744131	0.42638187588074505
115	125.0	500.0	0.554173354570334	0.501946466995087
116	150.0	500.0	0.603010998976627	0.374601314878837
117	170.0	500.0	0.8031427856359811	0.43018786758756905
118	185.0	500.0	0.459652745698423	0.388690853797415
119	200.0	500.0	0.31832105521714904	0.38985461967219104
120	225.0	500.0	0.39580692790464406	0.387328590129897
121	250.0	500.0	0.548027337940705	0.38561794316242404
122	275.0	500.0	0.6576571868926311	0.418300490372489
123	300.0	500.0	0.54099632657952	0.504039920555166
124	30.0	500.0	0.7706400099902121	0.7974407699437991
125	325.0	500.0	0.87404401640311	0.5156559140181051
126	70.0	500.0	0.369030908511553	0.33291909639174705
127	90.0	500.0	0.19875894550287201	0.33283232957131403
128	110.0	525.0	0.23541818159155603	0.357010994286798
129	125.0	525.0	0.326401490876079	0.421553508260025
130	150.0	525.0	0.408738322972287	0.38327806226744804
131	170.0	525.0	0.9140213101423711	0.407837447190578
132	185.0	525.0	0.733015906208053	0.37980714055314
133	200.0	525.0	0.27788606219204903	0.375884961883163
134	225.0	525.0	0.22804885552849202	0.340268118999599
135	250.0	525.0	0.33049663154500103	0.36496096925395405
136	275.0	525.0	0.440425690009538	0.36624149427171704
137	300.0	525.0	0.5018575875836571	0.38510662650958805
138	325.0	525.0	0.48732392320785706	0.398936931742483
139	70.0	525.0	0.32857282680661204	0.313501763045408
140	90.0	525.0	0.22205229564674903	0.33897731301258505
141	110.0	550.0	0.16928602874046703	0.275214881924748
142	125.0	550.0	0.17742907204438002	0.30565809700552704
143	150.0	550.0	0.48427676972242606	0.34930343200537
144	170.0	550.0	0.519153694069868	0.302799315498458
145	185.0	550.0	0.966719156758128	0.36491536043542105
146	200.0	550.0	0.9617949059057981	0.382451959675074
147	225.0	550.0	0.239683233657623	0.34084833201539705
148	250.0	550.0	0.22967348511902302	0.33787198961228204
149	275.0	550.0	0.33756767553341205	0.335674687041772
150	300.0	550.0	0.346320028747616	0.359100444104478
151	325.0	550.0	0.41572099138290003	0.382831257689885
152	350.0	550.0	0.6459609080627621	0.42299365275758405
153	70.0	550.0	0.27148851058726403	0.35167031343411903
154	90.0	550.0	0.22574671921588202	0.30618108735541305
155	110.0	575.0	0.186545282047303	0.282400213876534
156	125.0	575.0	0.142962742606997	0.22642190214535102
157	150.0	575.0	0.229071828314085	0.282252453871616
158	170.0	575.0	0.30439507963073903	0.29991384859719905
159	185.0	575.0	0.5639406451737391	0.27903504671749
160	200.0	575.0	0.968212994888697	0.30286273143548903
161	225.0	575.0	0.579560369804474	0.327671821912217
162	250.0	575.0	0.24026627263005101	0.31357352570130304
163	275.0	575.0	0.18904520437754702	0.321337895050113
164	300.0	575.0	0.28641004537736003	0.31528823146515
165	325.0	575.0	0.33083048049309305	0.344772858336629
166	350.0	575.0	0.5859598837850161	0.36367432834211405
167	375.0	575.0	0.5970128553875711	0.40939571695404403
168	70.0	575.0	0.36508502128832604	0.28147127293968305
169	90.0	575.0	0.272629656740429	0.282688952639678
170	110.0	600.0	0.257025486238677	0.24571495597345203
171	125.0	600.0	0.176065716188537	0.27231172665998904
172	150.0	600.0	0.14590753182891	0.27143213789284504
173	170.0	600.0	0.22014319597431703	0.258433926423048
174	185.0	600.0	0.26157370534824204	0.26815999095512
175	200.0	600.0	0.486114120922405	0.24607762802006403
176	225.0	600.0	0.892059573835401	0.37384305564228104
177	250.0	600.0	0.47243773070989803	0.279891651384824
178	275.0	600.0	0.24990595904622803	0.28740624852725605
179	300.0	600.0	0.173833798917191	0.30746420705148203
180	325.0	600.0	0.38795074366077603	0.30188178812494504
181	350.0	600.0	0.330059492382811	0.32154152015033605
182	375.0	600.0	0.592489751933396	0.355202649368605
183	400.0	600.0	0.362270612907987	0.372685323692632
184	40.0	600.0	1.014654349213627	0.404163767452678
